report_id,report_text,sif_potential,life_saving_rule,activity,location,barrier_failure,report_type,site
OIL_00001,A routine inspection identified failure to lock out and tag out during valve replacement. The issue was corrected without significant safety exposure.,0,None,valve replacement,Production Facility,failure to lock out and tag out,UC Observation,Bihar Field
OIL_00002,"A crane lifting activity was observed with damaged sling. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Lifting Operations,crane lifting,Drilling Site,damaged sling,Near Miss,West Bengal Field
OIL_00003,A near miss occurred during material handling when load path not controlled was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Line of Fire,material handling,Well Pad,load path not controlled,UA Observation,Assam Field
OIL_00004,A routine inspection identified missing entry permit during pit cleaning. The issue was corrected without significant safety exposure.,0,Confined Space,pit cleaning,Sewer Area,missing entry permit,UA Observation,Naharkatiya Field
OIL_00005,"During routine operations, poor spark containment was identified while carrying out grinding. Immediate intervention was required to prevent a serious incident.",1,Hot Work,grinding,Fabrication Yard,poor spark containment,UC Observation,Odisha Field
OIL_00006,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,crane lifting,Workshop,inadequate lifting plan,Near Miss,Digboi Field
OIL_00007,A routine inspection identified unexpected stored energy during pump maintenance. The issue was corrected without significant safety exposure.,0,None,pump maintenance,Processing Plant,unexpected stored energy,Near Miss,Odisha Field
OIL_00008,A routine inspection identified driver distraction during transportation. The issue was corrected without significant safety exposure.,0,None,transportation,Camp Road,driver distraction,UC Observation,Naharkatiya Field
OIL_00009,A low-severity observation was recorded during manhole entry involving inadequate ventilation. No high-consequence hazard was identified.,0,Confined Space,manhole entry,Process Vessel,inadequate ventilation,UA Observation,Bihar Field
OIL_00010,"During routine operations, seat belt not used was identified while carrying out vehicle driving. Immediate intervention was required to prevent a serious incident.",1,Driving,vehicle driving,Field Road,seat belt not used,Near Miss,Naharkatiya Field
OIL_00011,A near miss occurred during transportation when poor vehicle condition was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Driving,transportation,Plant Road,poor vehicle condition,Near Miss,Duliajan Field
OIL_00012,A low-severity observation was recorded during electrical testing involving damaged cable. No high-consequence hazard was identified.,0,None,electrical testing,Production Facility,damaged cable,Near Miss,Digboi Field
OIL_00013,"During manhole entry, a minor issue involving no standby person was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,manhole entry,Storage Tank,no standby person,Near Miss,Duliajan Field
OIL_00014,A low-severity observation was recorded during load transfer involving damaged sling. No high-consequence hazard was identified.,0,None,load transfer,Warehouse,damaged sling,UC Observation,Rajasthan Field
