report_id,report_text,site,location,activity,barrier_failure,report_type,sif_potential,predicted_sif,predicted_sif_proba,final_lsr_tag,hazard_categories
OIL_00001,A routine inspection identified failure to lock out and tag out during valve replacement. The issue was corrected without significant safety exposure.,Bihar Field,Production Facility,valve replacement,failure to lock out and tag out,UC Observation,0,0,0.0005056179714329854,Energy Isolation,"['energy_isolation', 'pressure_process']"
OIL_00002,"A crane lifting activity was observed with damaged sling. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",West Bengal Field,Drilling Site,crane lifting,damaged sling,Near Miss,1,1,0.9999568581919164,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00003,A near miss occurred during material handling when load path not controlled was observed at the worksite. The hazard had potential for serious injury or fatality.,Assam Field,Well Pad,material handling,load path not controlled,UA Observation,1,1,0.9928105615520287,Line of Fire,['line_of_fire']
OIL_00004,A routine inspection identified missing entry permit during pit cleaning. The issue was corrected without significant safety exposure.,Naharkatiya Field,Sewer Area,pit cleaning,missing entry permit,UA Observation,0,0,0.0003886396640952816,Confined Space,['confined_space']
OIL_00005,"During routine operations, poor spark containment was identified while carrying out grinding. Immediate intervention was required to prevent a serious incident.",Odisha Field,Fabrication Yard,grinding,poor spark containment,UC Observation,1,1,0.9936614056208443,Hot Work,['hot_work_fire']
OIL_00006,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Digboi Field,Workshop,crane lifting,inadequate lifting plan,Near Miss,0,0,0.0007948992123643284,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00007,A routine inspection identified unexpected stored energy during pump maintenance. The issue was corrected without significant safety exposure.,Odisha Field,Processing Plant,pump maintenance,unexpected stored energy,Near Miss,0,0,0.00043982916828477005,Energy Isolation,['energy_isolation']
OIL_00008,A routine inspection identified driver distraction during transportation. The issue was corrected without significant safety exposure.,Naharkatiya Field,Camp Road,transportation,driver distraction,UC Observation,0,0,0.00041586852032173335,Driving,['vehicle_driving']
OIL_00009,A low-severity observation was recorded during manhole entry involving inadequate ventilation. No high-consequence hazard was identified.,Bihar Field,Process Vessel,manhole entry,inadequate ventilation,UA Observation,0,0,2.155567127753781e-06,Confined Space,['confined_space']
OIL_00010,"During routine operations, seat belt not used was identified while carrying out vehicle driving. Immediate intervention was required to prevent a serious incident.",Naharkatiya Field,Field Road,vehicle driving,seat belt not used,Near Miss,1,1,0.9937533792197394,Driving,['vehicle_driving']
OIL_00011,A near miss occurred during transportation when poor vehicle condition was observed at the worksite. The hazard had potential for serious injury or fatality.,Duliajan Field,Plant Road,transportation,poor vehicle condition,Near Miss,1,1,0.9936229845037351,Driving,['vehicle_driving']
OIL_00012,A low-severity observation was recorded during electrical testing involving damaged cable. No high-consequence hazard was identified.,Digboi Field,Production Facility,electrical testing,damaged cable,Near Miss,0,0,2.2514494114517336e-06,Energy Isolation,['electrical']
OIL_00013,"During manhole entry, a minor issue involving no standby person was observed. No significant exposure to serious injury or fatality potential was identified.",Duliajan Field,Storage Tank,manhole entry,no standby person,Near Miss,0,0,0.020884075493766037,Confined Space,['confined_space']
OIL_00014,A low-severity observation was recorded during load transfer involving damaged sling. No high-consequence hazard was identified.,Rajasthan Field,Warehouse,load transfer,damaged sling,UC Observation,0,0,2.3575347725897605e-06,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00015,Personnel were observed during pipeline maintenance; missing isolation verification was noted and corrected as a routine safety improvement.,Odisha Field,Well Pad,pipeline maintenance,missing isolation verification,UA Observation,0,0,0.03234872983920559,Energy Isolation,['energy_isolation']
OIL_00016,"During elevated maintenance, a worker was exposed to a potentially serious hazard because of inadequate scaffold inspection. The condition was identified before an injury occurred.",Rajasthan Field,Maintenance Area,elevated maintenance,inadequate scaffold inspection,UC Observation,1,1,0.9999629904669264,Working at Height,['gravity_height']
OIL_00017,Personnel were observed during electrical testing; missing electrical isolation was noted and corrected as a routine safety improvement.,Bihar Field,Processing Plant,electrical testing,missing electrical isolation,UC Observation,0,0,0.034508136037777734,Energy Isolation,"['energy_isolation', 'electrical']"
OIL_00018,"During office activity, a minor issue involving obstruction was observed. No significant exposure to serious injury or fatality potential was identified.",Rajasthan Field,Office,office activity,obstruction,Near Miss,0,0,0.01620008338008164,Energy Isolation,[]
OIL_00019,A low-severity observation was recorded during material handling involving worker inside exclusion zone. No high-consequence hazard was identified.,Bihar Field,Drilling Site,material handling,worker inside exclusion zone,UC Observation,0,0,2.1601942748451825e-06,Line of Fire,[]
OIL_00020,Personnel were observed during pit cleaning; inadequate rescue arrangement was noted and corrected as a routine safety improvement.,Digboi Field,Process Vessel,pit cleaning,inadequate rescue arrangement,UC Observation,0,0,0.03390374824462891,Confined Space,['confined_space']
OIL_00021,A low-severity observation was recorded during pressure testing involving load path not controlled. No high-consequence hazard was identified.,Digboi Field,Warehouse,pressure testing,load path not controlled,Near Miss,0,0,2.5860304174677625e-06,Line of Fire,"['line_of_fire', 'pressure_process']"
OIL_00022,A routine inspection identified fatigue during vehicle driving. The issue was corrected without significant safety exposure.,Assam Field,Remote Site,vehicle driving,fatigue,UC Observation,0,0,0.00045758763830584234,Driving,['vehicle_driving']
OIL_00023,A routine inspection identified incomplete isolation during valve replacement. The issue was corrected without significant safety exposure.,Bihar Field,Maintenance Workshop,valve replacement,incomplete isolation,UA Observation,0,0,0.00046419877824231323,Energy Isolation,"['energy_isolation', 'pressure_process']"
OIL_00024,"A trenching activity was observed with water accumulation. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",Tripura Field,Well Pad,trenching,water accumulation,Near Miss,1,1,0.9999550366361034,Work Authorisation,['excavation']
OIL_00025,"During equipment lifting, a minor issue involving damaged sling was observed. No significant exposure to serious injury or fatality potential was identified.",Naharkatiya Field,Drilling Site,equipment lifting,damaged sling,UA Observation,0,0,0.018614509104426576,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00026,A low-severity observation was recorded during material handling involving load path not controlled. No high-consequence hazard was identified.,Naharkatiya Field,Well Pad,material handling,load path not controlled,UA Observation,0,0,2.398457199939963e-06,Line of Fire,['line_of_fire']
OIL_00027,"During electrical repair, a minor issue involving exposed live conductor was observed. No significant exposure to serious injury or fatality potential was identified.",Digboi Field,Production Facility,electrical repair,exposed live conductor,Near Miss,0,0,0.027799509977281457,Energy Isolation,['electrical']
OIL_00028,"During underground utility work, a worker was exposed to a potentially serious hazard because of missing utility identification. The condition was identified before an injury occurred.",Assam Field,Well Pad,underground utility work,missing utility identification,Near Miss,1,1,0.999963649548656,Work Authorisation,['excavation']
OIL_00029,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Digboi Field,Tank Farm,platform inspection,unguarded platform edge,UC Observation,0,0,0.0007463856067979607,Working at Height,['gravity_height']
